Profile,Wheel,Depth.Upper,Depth.Lower,ConeIndex,Crop,Tillage,ResidueRemoved,Plot,Field,Block,Plot_2,Side,Tx,GWC,BD,VWC,TC.perc,OM.perc
217W,Untrafficked,30,60,1.688097825,AlfaCorn,NT,60,217,71,2,17,W,9,0.296875,1.638682905,0.486483987,2.09,3
304E,Trafficked,0,5,0.412715181,CC,NT,35,304,71,3,4,E,4,,,,,
304E,Untrafficked,0,5,0.077369959,CC,NT,35,304,71,3,4,E,4,0.175681523,1.369888977,0.240664182,1.82,3
304E,Trafficked,5,15,0.882559258,CC,NT,35,304,71,3,4,E,4,,,,,
304E,Untrafficked,5,15,0.985289618,CC,NT,35,304,71,3,4,E,4,0.19088017,1.563153789,0.29837506,1.78,2.5
304E,Trafficked,15,30,1.550498004,CC,NT,35,304,71,3,4,E,4,,,,,
304E,Untrafficked,15,30,1.933054907,CC,NT,35,304,71,3,4,E,4,0.213642214,1.501124527,0.320703567,2.05,2.9
304E,Trafficked,30,60,1.402617299,CC,NT,35,304,71,3,4,E,4,,,,,
304E,Untrafficked,30,60,2.04716586,CC,NT,35,304,71,3,4,E,4,0.207851032,1.715314947,0.356529981,1.14,1.9
304W,Trafficked,0,5,0.272768742,CC,NT,35,304,71,3,4,W,4,,,,,
304W,Untrafficked,0,5,0.262300009,CC,NT,35,304,71,3,4,W,4,0.210715894,1.340460054,0.282456238,1.98,2.9
304W,Trafficked,5,15,1.058433906,CC,NT,35,304,71,3,4,W,4,,,,,
304W,Untrafficked,5,15,1.173883218,CC,NT,35,304,71,3,4,W,4,0.203466466,1.601747309,0.325901864,1.94,2.6
304W,Trafficked,15,30,1.738204539,CC,NT,35,304,71,3,4,W,4,,,,,
304W,Untrafficked,15,30,1.63556785,CC,NT,35,304,71,3,4,W,4,0.228809838,1.456784408,0.333326604,1.81,2.7
304W,Trafficked,30,60,1.171546938,CC,NT,35,304,71,3,4,W,4,,,,,
304W,Untrafficked,30,60,1.980435751,CC,NT,35,304,71,3,4,W,4,0.23411817,1.618274931,0.378867565,1.14,2
305E,Trafficked,0,5,0.122566982,CC,CP,35,305,71,3,5,E,3,,,,,
305E,Untrafficked,0,5,0.052456738,CC,CP,35,305,71,3,5,E,3,0.156560636,1.344627702,0.210515769,1.7,2.3
305E,Trafficked,5,15,0.658337807,CC,CP,35,305,71,3,5,E,3,,,,,
305E,Untrafficked,5,15,0.293156769,CC,CP,35,305,71,3,5,E,3,0.1872,1.593707093,0.298341968,1.49,2.3
305E,Trafficked,15,30,1.389028336,CC,CP,35,305,71,3,5,E,3,,,,,
305E,Untrafficked,15,30,1.154482064,CC,CP,35,305,71,3,5,E,3,0.199744463,1.589524776,0.317498773,2.04,3.2
305E,Trafficked,30,60,1.087141867,CC,CP,35,305,71,3,5,E,3,,,,,
305E,Untrafficked,30,60,1.224052132,CC,CP,35,305,71,3,5,E,3,0.184486373,1.658467839,0.305964717,1.17,2
305W,Trafficked,0,5,0.231021239,CC,CP,35,305,71,3,5,W,3,,,,,
305W,Untrafficked,0,5,0.218021999,CC,CP,35,305,71,3,5,W,3,0.196893204,1.246340529,0.24539598,2.1,3.3
305W,Trafficked,5,15,0.93269156,CC,CP,35,305,71,3,5,W,3,,,,,
305W,Untrafficked,5,15,0.77458606,CC,CP,35,305,71,3,5,W,3,0.22135202,1.631626431,0.361163806,1.99,3.2
305W,Trafficked,15,30,1.387944944,CC,CP,35,305,71,3,5,W,3,,,,,
305W,Untrafficked,15,30,1.151771748,CC,CP,35,305,71,3,5,W,3,0.235272185,1.556459297,0.366191579,2.42,3.6
305W,Trafficked,30,60,0.97658344,CC,CP,35,305,71,3,5,W,3,,,,,
305W,Untrafficked,30,60,1.548861338,CC,CP,35,305,71,3,5,W,3,0.201686341,1.724029684,0.347713238,1.15,2.2
307E,Trafficked,0,5,0.033015485,CC,CP,60,307,71,3,7,E,5,,,,,
307E,Untrafficked,0,5,0.283655523,CC,CP,60,307,71,3,7,E,5,0.191499522,1.302801447,0.249485855,2.24,2.9
